characteristic	 value	 user_id	 study_name	 
relfamily	nondenominational	11159719	alexandersanchez.exemplars8
religion	protestant	11159719	alexandersanchez.exemplars8
citizenship	us	11159719	alexandersanchez.exemplars8
residence	us	11159719	alexandersanchez.exemplars8
politicalid	0	11163285	alexandersanchez.exemplars8
birthmonth	10	11163285	alexandersanchez.exemplars8
birthyear	2000	11163285	alexandersanchez.exemplars8
religionid	3	11163285	alexandersanchez.exemplars8
genoccupation	41-	11163285	alexandersanchez.exemplars8
occupation	41-2000	11163285	alexandersanchez.exemplars8
education	7	11163285	alexandersanchez.exemplars8
gender	f	11163285	alexandersanchez.exemplars8
state	mn	11163285	alexandersanchez.exemplars8
raceethnic	null	11163285	alexandersanchez.exemplars8
relfamily	null	11163285	alexandersanchez.exemplars8
religion	protestant	11163285	alexandersanchez.exemplars8
citizenship	us	11163285	alexandersanchez.exemplars8
residence	us	11163285	alexandersanchez.exemplars8
birthyear	1992	11167085	alexandersanchez.exemplars8
politicalid	2	11167085	alexandersanchez.exemplars8
